股票代码,股票名称,拼音简写
000554.SZ,泰山石油,"['TSDY', 'TSSY']"
000555.SZ,神州信息,['SZXX']
000557.SZ,西部创业,['XBCY']
000558.SZ,莱茵体育,['LYTY']
000559.SZ,万向钱潮,"['MXQC', 'WXQC']"
000560.SZ,昆百大A,['KBDA']
000561.SZ,烽火电子,['FHDZ']
000563.SZ,陕国投A,['SGTA']
000564.SZ,西安民生,['XAMS']
000565.SZ,渝三峡A,['YSXA']
000566.SZ,海南海药,['HNHY']
000567.SZ,海德股份,['HDGF']
000568.SZ,泸州老窖,['LZLJ']
000570.SZ,苏常柴A,['SCCA']
000571.SZ,新大洲A,['XDZA']
000572.SZ,海马汽车,['HMQC']
000573.SZ,粤宏远A,['YHYA']
000576.SZ,广东甘化,"['ADGH', 'GDGH']"
000581.SZ,威孚高科,['WFGK']
000582.SZ,北部湾港,['BBWG']
000584.SZ,友利控股,['YLKG']
000585.SZ,东北电气,['DBDQ']
000586.SZ,汇源通信,['HYTX']
000587.SZ,金洲慈航,['JZCH']
000589.SZ,黔轮胎A,['QLTA']
000590.SZ,启迪古汉,['QDGH']
000591.SZ,太阳能,['TYN']
000592.SZ,平潭发展,['PTFZ']
000593.SZ,大通燃气,['DTRQ']
000595.SZ,宝塔实业,"['BDSY', 'BTSY']"
000596.SZ,古井贡酒,['GJGJ']
000597.SZ,东北制药,['DBZY']
000598.SZ,兴蓉环境,['XRHJ']
000599.SZ,青岛双星,['QDSX']
000600.SZ,建投能源,['JTNY']
000601.SZ,韶能股份,['SNGF']
000603.SZ,盛达矿业,"['CDKY', 'SDKY']"
000605.SZ,渤海股份,['BHGF']
000606.SZ,*ST明胶,['*STMJ']
000607.SZ,华媒控股,['HMKG']
000608.SZ,阳光股份,['YGGF']
000609.SZ,绵世股份,['MSGF']
000610.SZ,西安旅游,['XALY']
000611.SZ,*ST蒙发,['*STMF']
000612.SZ,焦作万方,"['JZMF', 'JZWF']"
000613.SZ,大东海A,['DDHA']
000615.SZ,京汉股份,['JHGF']
000616.SZ,海航投资,['HHTZ']
000617.SZ,*ST济柴,['*STJC']
000619.SZ,海螺型材,['HLXC']
000620.SZ,新华联,['XHL']
000622.SZ,*ST恒立,['*STHL']
000623.SZ,吉林敖东,['JLAD']
000625.SZ,长安汽车,"['CAQC', 'ZAQC']"
000626.SZ,如意集团,['RYJT']
000627.SZ,天茂集团,['TMJT']
