股票代码,股票名称,拼音简写
002182.SZ,云海金属,"['YHJS', 'YHJZ']"
002183.SZ,怡亚通,['YYT']
002184.SZ,海得控制,['HDKZ']
002185.SZ,华天科技,['HTKJ']
002186.SZ,全聚德,['QJD']
002187.SZ,广百股份,"['ABGF', 'GBGF']"
002188.SZ,巴士在线,['BSZX']
002189.SZ,利达光电,['LDGD']
002190.SZ,成飞集成,['CFJC']
002191.SZ,劲嘉股份,['JJGF']
002192.SZ,融捷股份,['RJGF']
002193.SZ,山东如意,['SDRY']
002194.SZ,武汉凡谷,"['WHFG', 'WHFY']"
002195.SZ,二三四五,['ESSW']
002196.SZ,方正电机,['FZDJ']
002197.SZ,证通电子,['ZTDZ']
002198.SZ,嘉应制药,['JYZY']
002199.SZ,*ST东晶,['*STDJ']
002200.SZ,云投生态,['YTST']
002201.SZ,九鼎新材,['JDXC']
002202.SZ,金风科技,['JFKJ']
002203.SZ,海亮股份,['HLGF']
002204.SZ,大连重工,"['DLCG', 'DLZG']"
002205.SZ,国统股份,['GTGF']
002206.SZ,海利得,['HLD']
002207.SZ,准油股份,['ZYGF']
002208.SZ,合肥城建,"['GFCJ', 'HFCJ']"
002209.SZ,达意隆,['DYL']
002210.SZ,飞马国际,['FMGJ']
002211.SZ,宏达新材,['HDXC']
002212.SZ,南洋股份,['NYGF']
002213.SZ,特尔佳,['TEJ']
002214.SZ,大立科技,['DLKJ']
002215.SZ,诺普信,['NPX']
002216.SZ,三全食品,['SQSP']
002217.SZ,合力泰,"['GLT', 'HLT']"
002218.SZ,拓日新能,['TRXN']
002219.SZ,恒康医疗,['HKYL']
002220.SZ,天宝股份,['TBGF']
002221.SZ,东华能源,['DHNY']
002222.SZ,福晶科技,['FJKJ']
002223.SZ,鱼跃医疗,['YYYL']
002224.SZ,三力士,['SLS']
002225.SZ,濮耐股份,['PNGF']
002226.SZ,江南化工,['JNHG']
002227.SZ,奥特迅,['ATX']
002228.SZ,合兴包装,"['GXBZ', 'HXBZ']"
002229.SZ,鸿博股份,['HBGF']
002230.SZ,科大讯飞,['KDXF']
002231.SZ,奥维通信,['AWTX']
002232.SZ,启明信息,['QMXX']
002233.SZ,塔牌集团,"['DPJT', 'TPJT']"
002234.SZ,民和股份,['MHGF']
002235.SZ,安妮股份,['ANGF']
002236.SZ,大华股份,['DHGF']
002237.SZ,恒邦股份,['HBGF']
002238.SZ,天威视讯,['TWSX']
002239.SZ,奥特佳,['ATJ']
002240.SZ,威华股份,['WHGF']
002241.SZ,歌尔声学,['GESX']
002242.SZ,九阳股份,['JYGF']
002243.SZ,通产丽星,['TCLX']
002244.SZ,滨江集团,['BJJT']
002245.SZ,澳洋顺昌,['AYSC']
002246.SZ,北化股份,['BHGF']
002247.SZ,帝龙新材,['DLXC']
002248.SZ,华东数控,['HDSK']
002249.SZ,大洋电机,['DYDJ']
002250.SZ,联化科技,['LHKJ']
002251.SZ,步步高,['BBG']
002252.SZ,上海莱士,['SHLS']
002253.SZ,川大智胜,['CDZS']
002254.SZ,泰和新材,['THXC']
002255.SZ,海陆重工,"['HLCG', 'HLZG']"
002256.SZ,彩虹精化,"['CHJH', 'CJJH']"
002258.SZ,利尔化学,['LEHX']
002259.SZ,升达林业,['SDLY']
002260.SZ,德奥通航,['DATH']
002261.SZ,拓维信息,['TWXX']
002262.SZ,恩华药业,['EHYY']
002263.SZ,大东南,['DDN']
002264.SZ,新华都,['XHD']
002265.SZ,西仪股份,['XYGF']
002266.SZ,浙富控股,['ZFKG']
002267.SZ,陕天然气,['STRQ']
002268.SZ,卫士通,['WST']
002269.SZ,美邦服饰,['MBFS']
002270.SZ,法因数控,['FYSK']
002271.SZ,东方雨虹,"['DFYH', 'DFYJ']"
002272.SZ,川润股份,['CRGF']
002273.SZ,水晶光电,['SJGD']
002274.SZ,华昌化工,['HCHG']
002275.SZ,桂林三金,['GLSJ']
002276.SZ,万马股份,"['MMGF', 'WMGF']"
002277.SZ,友阿股份,"['YAGF', 'YEGF']"
002278.SZ,神开股份,['SKGF']
002279.SZ,久其软件,"['JJRJ', 'JQRJ']"
002280.SZ,联络互动,['LLHD']
002281.SZ,光迅科技,['GXKJ']
002282.SZ,博深工具,['BSGJ']
002283.SZ,天润曲轴,['TRQZ']
002284.SZ,亚太股份,['YTGF']
002285.SZ,世联行,"['SLH', 'SLX']"
002286.SZ,保龄宝,['BLB']
002287.SZ,奇正藏药,"['JZCY', 'QZCY', 'JZZY', 'QZZY']"
002288.SZ,超华科技,['CHKJ']
002289.SZ,*ST宇顺,['*STYS']
002290.SZ,禾盛新材,"['HCXC', 'HSXC']"
002291.SZ,星期六,"['XJL', 'XQL']"
002292.SZ,奥飞娱乐,"['AFYL', 'AFYY']"
002293.SZ,罗莱生活,['LLSH']
002294.SZ,信立泰,['XLT']
002295.SZ,精艺股份,['JYGF']
002296.SZ,辉煌科技,['HHKJ']
002297.SZ,博云新材,['BYXC']
002298.SZ,中电鑫龙,['ZDXL']
002299.SZ,圣农发展,['SNFZ']
002300.SZ,太阳电缆,['TYDL']
002301.SZ,齐心集团,"['JXJT', 'QXJT']"
002302.SZ,西部建设,['XBJS']
002303.SZ,美盈森,['MYS']
002304.SZ,洋河股份,['YHGF']
002305.SZ,南国置业,['NGZY']
002306.SZ,中科云网,['ZKYW']
002307.SZ,北新路桥,['BXLQ']
002308.SZ,威创股份,['WCGF']
002309.SZ,中利科技,['ZLKJ']
002310.SZ,东方园林,['DFYL']
002311.SZ,海大集团,['HDJT']
002312.SZ,三泰控股,['STKG']
002313.SZ,日海通讯,['RHTX']
002314.SZ,南山控股,['NSKG']
002315.SZ,焦点科技,['JDKJ']
002316.SZ,键桥通讯,['JQTX']
002317.SZ,众生药业,['ZSYY']
002318.SZ,久立特材,['JLTC']
002319.SZ,乐通股份,"['LTGF', 'YTGF']"
002320.SZ,海峡股份,['HXGF']
002321.SZ,华英农业,['HYNY']
002322.SZ,理工环科,['LGHK']
002323.SZ,雅百特,['YBT']
002324.SZ,普利特,['PLT']
002325.SZ,洪涛股份,['HTGF']
002326.SZ,永太科技,['YTKJ']
002327.SZ,富安娜,['FAN']
002328.SZ,新朋股份,['XPGF']
002329.SZ,皇氏集团,"['HSJT', 'HZJT']"
002330.SZ,得利斯,['DLS']
002331.SZ,皖通科技,['WTKJ']
002332.SZ,仙琚制药,['XJZY']
002333.SZ,罗普斯金,['LPSJ']
002334.SZ,英威腾,['YWT']
002335.SZ,科华恒盛,"['KHHC', 'KHHS']"
002336.SZ,*ST人乐,"['*STRL', '*STRY']"
002337.SZ,赛象科技,['SXKJ']
002338.SZ,奥普光电,['APGD']
002339.SZ,积成电子,['JCDZ']
002340.SZ,格林美,['GLM']
002341.SZ,新纶科技,"['XGKJ', 'XLKJ']"
002342.SZ,巨力索具,['JLSJ']
002343.SZ,慈文传媒,"['CWCM', 'CWZM']"
002344.SZ,海宁皮城,['HNPC']
002345.SZ,潮宏基,['CHJ']
002346.SZ,柘中股份,['ZZGF']
002347.SZ,泰尔重工,"['TECG', 'TEZG']"
002348.SZ,高乐股份,"['GLGF', 'GYGF']"
002349.SZ,精华制药,['JHZY']
002350.SZ,北京科锐,['BJKR']
002351.SZ,漫步者,['MBZ']
002352.SZ,鼎泰新材,['DTXC']
002353.SZ,杰瑞股份,['JRGF']
002354.SZ,天神娱乐,"['TSYL', 'TSYY']"
002355.SZ,兴民钢圈,"['XMGJ', 'XMGQ']"
002356.SZ,赫美集团,['HMJT']
002357.SZ,富临运业,['FLYY']
002358.SZ,森源电气,['SYDQ']
002359.SZ,齐星铁塔,"['JXTD', 'QXTD', 'JXTT', 'QXTT']"
002360.SZ,同德化工,['TDHG']
002361.SZ,神剑股份,['SJGF']
002362.SZ,汉王科技,['HWKJ']
002363.SZ,隆基机械,['LJJX']
002364.SZ,中恒电气,['ZHDQ']
002365.SZ,永安药业,['YAYY']
002366.SZ,台海核电,['THHD']
002367.SZ,康力电梯,['KLDT']
002368.SZ,太极股份,['TJGF']
002369.SZ,卓翼科技,['ZYKJ']
002370.SZ,亚太药业,['YTYY']
002371.SZ,七星电子,['QXDZ']
002372.SZ,伟星新材,['WXXC']
002373.SZ,千方科技,['QFKJ']
002374.SZ,丽鹏股份,['LPGF']
002375.SZ,亚厦股份,"['YSGF', 'YXGF']"
002376.SZ,新北洋,['XBY']
002377.SZ,国创高新,['GCGX']
002378.SZ,章源钨业,['ZYWY']
002379.SZ,*ST鲁丰,['*STLF']
002380.SZ,科远股份,['KYGF']
002381.SZ,双箭股份,['SJGF']
002382.SZ,蓝帆医疗,['LFYL']
002383.SZ,合众思壮,"['GZSZ', 'HZSZ']"
002384.SZ,东山精密,['DSJM']
002385.SZ,大北农,['DBN']
002386.SZ,天原集团,['TYJT']
002387.SZ,黑牛食品,['HNSP']
002388.SZ,新亚制程,['XYZC']
002389.SZ,南洋科技,['NYKJ']
002390.SZ,信邦制药,['XBZY']
002391.SZ,长青股份,"['CQGF', 'ZQGF']"
002392.SZ,北京利尔,['BJLE']
002393.SZ,力生制药,['LSZY']
002394.SZ,联发股份,['LFGF']
002395.SZ,双象股份,['SXGF']
002396.SZ,星网锐捷,['XWRJ']
002397.SZ,梦洁家纺,['MJJF']
002398.SZ,建研集团,['JYJT']
002399.SZ,海普瑞,['HPR']
002400.SZ,省广股份,"['SAGF', 'XAGF', 'SGGF', 'XGGF']"
002401.SZ,中海科技,['ZHKJ']
002402.SZ,和而泰,['HET']
002403.SZ,爱仕达,['ASD']
002404.SZ,嘉欣丝绸,['JXSC']
002405.SZ,四维图新,['SWTX']
002406.SZ,远东传动,"['YDCD', 'YDZD']"
002407.SZ,多氟多,['DFD']
002408.SZ,齐翔腾达,"['JXTD', 'QXTD']"
002409.SZ,雅克科技,['YKKJ']
002410.SZ,广联达,"['ALD', 'GLD']"
002411.SZ,必康股份,['BKGF']
002412.SZ,汉森制药,['HSZY']
002413.SZ,雷科防务,['LKFW']
002414.SZ,高德红外,"['GDGW', 'GDHW']"
002415.SZ,海康威视,['HKWS']
002416.SZ,爱施德,['ASD']
002417.SZ,三元达,['SYD']
002418.SZ,康盛股份,"['KCGF', 'KSGF']"
002419.SZ,天虹商场,"['THSC', 'TJSC']"
002420.SZ,毅昌股份,['YCGF']
002421.SZ,达实智能,['DSZN']
002422.SZ,科伦药业,['KLYY']
002423.SZ,*ST中特,['*STZT']
002424.SZ,贵州百灵,['GZBL']
002425.SZ,凯撒股份,['KSGF']
002426.SZ,胜利精密,['SLJM']
002427.SZ,尤夫股份,['YFGF']
002428.SZ,云南锗业,['YNZY']
002429.SZ,兆驰股份,['ZCGF']
002430.SZ,杭氧股份,['HYGF']
002431.SZ,棕榈股份,['ZLGF']
002432.SZ,九安医疗,['JAYL']
002433.SZ,太安堂,['TAT']
002434.SZ,万里扬,"['MLY', 'WLY']"
002435.SZ,长江润发,"['CJRF', 'ZJRF']"
002436.SZ,兴森科技,['XSKJ']
002437.SZ,誉衡药业,['YHYY']
002438.SZ,江苏神通,['JSST']
002439.SZ,启明星辰,['QMXC']
002440.SZ,闰土股份,['RTGF']
002441.SZ,众业达,['ZYD']
002442.SZ,龙星化工,['LXHG']
002443.SZ,金洲管道,['JZGD']
002444.SZ,巨星科技,['JXKJ']
002445.SZ,中南重工,"['ZNCG', 'ZNZG']"
002446.SZ,盛路通信,"['CLTX', 'SLTX']"
002447.SZ,壹桥海参,"['YQHC', 'YQHS']"
002448.SZ,中原内配,['ZYNP']
002449.SZ,国星光电,['GXGD']
002450.SZ,康得新,['KDX']
002451.SZ,摩恩电气,['MEDQ']
002452.SZ,长高集团,"['CGJT', 'ZGJT']"
002453.SZ,天马精化,['TMJH']
002454.SZ,松芝股份,['SZGF']
002455.SZ,百川股份,['BCGF']
002456.SZ,欧菲光,['OFG']
002457.SZ,青龙管业,['QLGY']
002458.SZ,益生股份,['YSGF']
002459.SZ,天业通联,['TYTL']
002460.SZ,赣锋锂业,['GFLY']
002461.SZ,珠江啤酒,['ZJPJ']
002462.SZ,嘉事堂,['JST']
002463.SZ,沪电股份,['HDGF']
002464.SZ,金利科技,['JLKJ']
002465.SZ,海格通信,['HGTX']
002466.SZ,天齐锂业,"['TJLY', 'TQLY']"
002467.SZ,二六三,['ELS']
002468.SZ,艾迪西,"['ADX', 'YDX']"
002469.SZ,三维工程,['SWGC']
002470.SZ,金正大,['JZD']
002471.SZ,中超控股,['ZCKG']
002472.SZ,双环传动,"['SHCD', 'SHZD']"
002473.SZ,圣莱达,['SLD']
002474.SZ,榕基软件,['RJRJ']
002475.SZ,立讯精密,['LXJM']
002476.SZ,宝莫股份,['BMGF']
002477.SZ,雏鹰农牧,['CYNM']
002478.SZ,常宝股份,['CBGF']
002479.SZ,富春环保,['FCHB']
002480.SZ,新筑股份,['XZGF']
002481.SZ,双塔食品,"['SDSP', 'STSP']"
002482.SZ,广田股份,"['ATGF', 'GTGF']"
002483.SZ,润邦股份,['RBGF']
002484.SZ,江海股份,['JHGF']
002485.SZ,希努尔,['XNE']
002486.SZ,嘉麟杰,['JLJ']
002487.SZ,大金重工,"['DJCG', 'DJZG']"
002488.SZ,金固股份,['JGGF']
002489.SZ,浙江永强,"['ZJYJ', 'ZJYQ']"
002490.SZ,山东墨龙,['SDML']
002491.SZ,通鼎互联,['TDHL']
002492.SZ,恒基达鑫,['HJDX']
002493.SZ,荣盛石化,"['RCDH', 'RSDH', 'RCSH', 'RSSH']"
002494.SZ,华斯股份,['HSGF']
002495.SZ,佳隆股份,['JLGF']
002496.SZ,辉丰股份,['HFGF']
002497.SZ,雅化集团,['YHJT']
002498.SZ,汉缆股份,['HLGF']
002499.SZ,科林环保,['KLHB']
002500.SZ,山西证券,['SXZQ']
002501.SZ,利源精制,['LYJZ']
002502.SZ,骅威文化,['HWWH']
002503.SZ,搜于特,['SYT']
002504.SZ,弘高创意,['HGCY']
002505.SZ,大康牧业,['DKMY']
002506.SZ,协鑫集成,['XXJC']
002507.SZ,涪陵榨菜,['FLZC']
002508.SZ,老板电器,['LBDQ']
002509.SZ,天广消防,"['TAXF', 'TGXF']"
002510.SZ,天汽模,['TQM']
002511.SZ,中顺洁柔,['ZSJR']
002512.SZ,达华智能,['DHZN']
002513.SZ,*ST蓝丰,['*STLF']
002514.SZ,宝馨科技,['BXKJ']
002515.SZ,金字火腿,['JZHT']
002516.SZ,旷达科技,['KDKJ']
002517.SZ,恺英网络,['KYWL']
002518.SZ,科士达,['KSD']
002519.SZ,银河电子,['YHDZ']
002520.SZ,日发精机,['RFJJ']
002521.SZ,齐峰新材,"['JFXC', 'QFXC']"
002522.SZ,浙江众成,['ZJZC']
002523.SZ,天桥起重,"['TQQC', 'TQQZ']"
002524.SZ,光正集团,['GZJT']
002526.SZ,山东矿机,['SDKJ']
002527.SZ,新时达,['XSD']
002528.SZ,英飞拓,['YFT']
002529.SZ,海源机械,['HYJX']
002530.SZ,丰东股份,['FDGF']
002531.SZ,天顺风能,['TSFN']
002532.SZ,新界泵业,['XJBY']
002533.SZ,金杯电工,['JBDG']
002534.SZ,杭锅股份,['HGGF']
002535.SZ,林州重机,"['LZCJ', 'LZZJ']"
002536.SZ,西泵股份,['XBGF']
002537.SZ,海立美达,['HLMD']
002538.SZ,司尔特,['SET']
002539.SZ,新都化工,['XDHG']
002540.SZ,亚太科技,['YTKJ']
002541.SZ,鸿路钢构,['HLGG']
002542.SZ,中化岩土,['ZHYT']
002543.SZ,万和电气,"['MHDQ', 'WHDQ']"
002544.SZ,杰赛科技,['JSKJ']
002545.SZ,东方铁塔,"['DFTD', 'DFTT']"
002546.SZ,新联电子,['XLDZ']
002547.SZ,春兴精工,['CXJG']
002548.SZ,金新农,['JXN']
002549.SZ,凯美特气,['KMTQ']
002550.SZ,千红制药,"['QGZY', 'QHZY']"
002551.SZ,尚荣医疗,['SRYL']
002552.SZ,宝鼎科技,['BDKJ']
002553.SZ,南方轴承,['NFZC']
002554.SZ,惠博普,['HBP']
002555.SZ,三七互娱,['SQHY']
002556.SZ,辉隆股份,['HLGF']
002557.SZ,洽洽食品,['QQSP']
002558.SZ,世纪游轮,['SJYL']
002559.SZ,亚威股份,['YWGF']
002560.SZ,通达股份,['TDGF']
002561.SZ,徐家汇,['XJH']
002562.SZ,兄弟科技,['XDKJ']
002563.SZ,森马服饰,['SMFS']
002564.SZ,天沃科技,['TWKJ']
002565.SZ,上海绿新,['SHLX']
002566.SZ,益盛药业,"['YCYY', 'YSYY']"
002567.SZ,唐人神,['TRS']
002568.SZ,百润股份,['BRGF']
002569.SZ,步森股份,['BSGF']
002570.SZ,贝因美,['BYM']
002571.SZ,德力股份,['DLGF']
002572.SZ,索菲亚,['SFY']
002573.SZ,清新环境,['QXHJ']
002574.SZ,明牌珠宝,['MPZB']
002575.SZ,群兴玩具,['QXWJ']
002576.SZ,通达动力,['TDDL']
002577.SZ,雷柏科技,['LBKJ']
002578.SZ,闽发铝业,['MFLY']
002579.SZ,中京电子,['ZJDZ']
002580.SZ,圣阳股份,['SYGF']
002581.SZ,未名医药,['WMYY']
002582.SZ,好想你,['HXN']
002583.SZ,海能达,['HND']
002584.SZ,西陇科学,['XLKX']
002585.SZ,双星新材,['SXXC']
002586.SZ,围海股份,['WHGF']
002587.SZ,奥拓电子,['ATDZ']
002588.SZ,史丹利,['SDL']
002589.SZ,瑞康医药,['RKYY']
002590.SZ,万安科技,"['MAKJ', 'WAKJ']"
002591.SZ,恒大高新,['HDGX']
002592.SZ,八菱科技,['BLKJ']
002593.SZ,日上集团,['RSJT']
002594.SZ,比亚迪,['BYD']
002595.SZ,豪迈科技,['HMKJ']
002596.SZ,海南瑞泽,['HNRZ']
002597.SZ,金禾实业,['JHSY']
002598.SZ,山东章鼓,['SDZG']
002599.SZ,盛通股份,"['CTGF', 'STGF']"
002600.SZ,江粉磁材,['JFCC']
002601.SZ,佰利联,['BLL']
002602.SZ,世纪华通,['SJHT']
002603.SZ,以岭药业,['YLYY']
002604.SZ,龙力生物,['LLSW']
002605.SZ,姚记扑克,['YJPK']
002606.SZ,大连电瓷,['DLDC']
002607.SZ,亚夏汽车,['YXQC']
002608.SZ,*ST舜船,['*STSC']
002609.SZ,捷顺科技,['JSKJ']
002610.SZ,爱康科技,['AKKJ']
002611.SZ,东方精工,['DFJG']
002612.SZ,朗姿股份,['LZGF']
002613.SZ,北玻股份,['BBGF']
002614.SZ,蒙发利,['MFL']
002615.SZ,哈尔斯,['HES']
002616.SZ,长青集团,"['CQJT', 'ZQJT']"
002617.SZ,露笑科技,['LXKJ']
002618.SZ,丹邦科技,['DBKJ']
002619.SZ,巨龙管业,['JLGY']
002620.SZ,瑞和股份,['RHGF']
002621.SZ,三垒股份,['SLGF']
002622.SZ,永大集团,['YDJT']
002623.SZ,亚玛顿,['YMD']
002624.SZ,完美环球,['WMHQ']
002625.SZ,龙生股份,['LSGF']
002626.SZ,金达威,['JDW']
002627.SZ,宜昌交运,['YCJY']
002628.SZ,成都路桥,['CDLQ']
002629.SZ,仁智油服,['RZYF']
002630.SZ,华西能源,['HXNY']
002631.SZ,德尔未来,['DEWL']
002632.SZ,道明光学,['DMGX']
002633.SZ,申科股份,['SKGF']
002634.SZ,棒杰股份,['BJGF']
002635.SZ,安洁科技,['AJKJ']
002636.SZ,金安国纪,['JAGJ']
002637.SZ,赞宇科技,['ZYKJ']
002638.SZ,勤上光电,['QSGD']
002639.SZ,雪人股份,['XRGF']
002640.SZ,跨境通,['KJT']
002641.SZ,永高股份,['YGGF']
002642.SZ,荣之联,['RZL']
002643.SZ,万润股份,"['MRGF', 'WRGF']"
002644.SZ,佛慈制药,['FCZY']
002645.SZ,华宏科技,['HHKJ']
002646.SZ,青青稞酒,['QQKJ']
002647.SZ,宏磊股份,['HLGF']
002648.SZ,卫星石化,"['WXDH', 'WXSH']"
002649.SZ,博彦科技,['BYKJ']
002650.SZ,加加食品,['JJSP']
002651.SZ,利君股份,['LJGF']
002652.SZ,扬子新材,['YZXC']
002653.SZ,海思科,['HSK']
002654.SZ,万润科技,"['MRKJ', 'WRKJ']"
002655.SZ,共达电声,['GDDS']
002656.SZ,摩登大道,['MDDD']
002657.SZ,中科金财,['ZKJC']
002658.SZ,雪迪龙,['XDL']
002659.SZ,中泰桥梁,['ZTQL']
002660.SZ,茂硕电源,['MSDY']
002661.SZ,克明面业,['KMMY']
002662.SZ,京威股份,['JWGF']
002663.SZ,普邦园林,['PBYL']
002664.SZ,信质电机,['XZDJ']
002665.SZ,首航节能,['SHJN']
002666.SZ,德联集团,['DLJT']
002667.SZ,鞍重股份,"['ACGF', 'AZGF']"
002668.SZ,奥马电器,['AMDQ']
002669.SZ,康达新材,['KDXC']
002670.SZ,华声股份,['HSGF']
002671.SZ,龙泉股份,['LQGF']
002672.SZ,东江环保,['DJHB']
002673.SZ,西部证券,['XBZQ']
002674.SZ,兴业科技,['XYKJ']
002675.SZ,东诚药业,['DCYY']
002676.SZ,顺威股份,['SWGF']
002677.SZ,浙江美大,['ZJMD']
002678.SZ,珠江钢琴,['ZJGQ']
002679.SZ,福建金森,['FJJS']
002680.SZ,长生生物,"['CSSW', 'ZSSW']"
002681.SZ,奋达科技,['FDKJ']
002682.SZ,龙洲股份,['LZGF']
002683.SZ,宏大爆破,['HDBP']
002684.SZ,猛狮科技,['MSKJ']
002685.SZ,华东重机,"['HDCJ', 'HDZJ']"
002686.SZ,亿利达,['YLD']
002687.SZ,乔治白,['QZB']
002688.SZ,金河生物,['JHSW']
002689.SZ,远大智能,['YDZN']
002690.SZ,美亚光电,['MYGD']
002691.SZ,冀凯股份,['JKGF']
002692.SZ,远程电缆,['YCDL']
002693.SZ,双成药业,['SCYY']
002694.SZ,顾地科技,['GDKJ']
002695.SZ,煌上煌,['HSH']
002696.SZ,百洋股份,['BYGF']
002697.SZ,红旗连锁,"['GQLS', 'HQLS']"
002698.SZ,博实股份,['BSGF']
002699.SZ,美盛文化,"['MCWH', 'MSWH']"
002700.SZ,新疆浩源,['XJHY']
002701.SZ,奥瑞金,['ARJ']
002702.SZ,海欣食品,['HXSP']
002703.SZ,浙江世宝,['ZJSB']
002705.SZ,新宝股份,['XBGF']
002706.SZ,良信电器,['LXDQ']
002707.SZ,众信旅游,['ZXLY']
002708.SZ,光洋股份,['GYGF']
002709.SZ,天赐材料,['TCCL']
002711.SZ,欧浦智网,['OPZW']
002712.SZ,思美传媒,"['SMCM', 'SMZM']"
002713.SZ,东易日盛,"['DYRC', 'DYRS']"
002714.SZ,牧原股份,['MYGF']
002715.SZ,登云股份,['DYGF']
002716.SZ,金贵银业,['JGYY']
002717.SZ,岭南园林,['LNYL']
002718.SZ,友邦吊顶,['YBDD']
002719.SZ,麦趣尔,['MQE']
002721.SZ,金一文化,['JYWH']
002722.SZ,金轮股份,['JLGF']
002723.SZ,金莱特,['JLT']
002724.SZ,海洋王,['HYW']
002725.SZ,跃岭股份,['YLGF']
002726.SZ,龙大肉食,['LDRS']
002727.SZ,一心堂,['YXT']
002728.SZ,台城制药,['TCZY']
002729.SZ,好利来,['HLL']
002730.SZ,电光科技,['DGKJ']
002731.SZ,萃华珠宝,['CHZB']
002732.SZ,燕塘乳业,['YTRY']
002733.SZ,雄韬股份,['XTGF']
002734.SZ,利民股份,['LMGF']
002735.SZ,王子新材,['WZXC']
002736.SZ,国信证券,['GXZQ']
002737.SZ,葵花药业,['KHYY']
002738.SZ,中矿资源,['ZKZY']
002739.SZ,万达院线,"['MDYX', 'WDYX']"
002740.SZ,爱迪尔,['ADE']
002741.SZ,光华科技,['GHKJ']
002742.SZ,三圣特材,['SSTC']
002743.SZ,富煌钢构,['FHGG']
002745.SZ,木林森,['MLS']
002746.SZ,仙坛股份,['XTGF']
002747.SZ,埃斯顿,['ASD']
002748.SZ,世龙实业,['SLSY']
002749.SZ,国光股份,['GGGF']
002750.SZ,龙津药业,['LJYY']
002751.SZ,易尚展示,['YSZS']
002752.SZ,昇兴股份,[]
002753.SZ,永东股份,['YDGF']
002755.SZ,东方新星,['DFXX']
002756.SZ,永兴特钢,['YXTG']
002757.SZ,南兴装备,['NXZB']
002758.SZ,华通医药,['HTYY']
002759.SZ,天际股份,['TJGF']
002760.SZ,凤形股份,['FXGF']
002761.SZ,多喜爱,['DXA']
002762.SZ,金发拉比,['JFLB']
002763.SZ,汇洁股份,['HJGF']
002765.SZ,蓝黛传动,"['LDCD', 'LDZD']"
002766.SZ,索菱股份,['SLGF']
002767.SZ,先锋电子,['XFDZ']
002768.SZ,国恩股份,['GEGF']
002769.SZ,普路通,['PLT']
002770.SZ,科迪乳业,['KDRY']
002771.SZ,真视通,['ZST']
002772.SZ,众兴菌业,['ZXJY']
002773.SZ,康弘药业,['KHYY']
002775.SZ,文科园林,['WKYL']
002776.SZ,柏堡龙,"['BBL', 'BPL']"
002777.SZ,久远银海,['JYYH']
002778.SZ,高科石化,"['GKDH', 'GKSH']"
002779.SZ,中坚科技,['ZJKJ']
002780.SZ,三夫户外,['SFHW']
002781.SZ,奇信股份,"['JXGF', 'QXGF']"
002782.SZ,可立克,['KLK']
002783.SZ,凯龙股份,['KLGF']
002785.SZ,万里石,"['MLD', 'WLD', 'MLS', 'WLS']"
002786.SZ,银宝山新,['YBSX']
002787.SZ,华源包装,['HYBZ']
002788.SZ,鹭燕医药,['LYYY']
002789.SZ,建艺集团,['JYJT']
002790.SZ,瑞尔特,['RET']
002791.SZ,坚朗五金,['JLWJ']
002792.SZ,通宇通讯,['TYTX']
002793.SZ,东音股份,['DYGF']
002795.SZ,永和智控,['YHZK']
002796.SZ,世嘉科技,['SJKJ']
002797.SZ,第一创业,['DYCY']
002798.SZ,帝王洁具,['DWJJ']
300001.SZ,特锐德,['TRD']
300002.SZ,神州泰岳,['SZTY']
300003.SZ,乐普医疗,"['LPYL', 'YPYL']"
300004.SZ,南风股份,['NFGF']
300005.SZ,探路者,['TLZ']
300006.SZ,莱美药业,['LMYY']
300007.SZ,汉威电子,['HWDZ']
300008.SZ,天海防务,['THFW']
300009.SZ,安科生物,['AKSW']
300010.SZ,立思辰,['LSC']
300011.SZ,鼎汉技术,"['DHJS', 'DHJZ']"
300012.SZ,华测检测,['HCJC']
300013.SZ,新宁物流,['XNWL']
300014.SZ,亿纬锂能,['YWLN']
300015.SZ,爱尔眼科,['AEYK']
300016.SZ,北陆药业,['BLYY']
300017.SZ,网宿科技,"['WSKJ', 'WXKJ']"
300018.SZ,中元华电,['ZYHD']
300019.SZ,硅宝科技,['GBKJ']
300020.SZ,银江股份,['YJGF']
300021.SZ,大禹节水,['DYJS']
300022.SZ,吉峰农机,['JFNJ']
300023.SZ,宝德股份,['BDGF']
300024.SZ,机器人,['JQR']
300025.SZ,华星创业,['HXCY']
300026.SZ,红日药业,"['GRYY', 'HRYY']"
300027.SZ,华谊兄弟,['HYXD']
300028.SZ,金亚科技,['JYKJ']
300029.SZ,天龙光电,['TLGD']
300030.SZ,阳普医疗,['YPYL']
300031.SZ,宝通科技,['BTKJ']
300032.SZ,金龙机电,['JLJD']
300033.SZ,同花顺,['THS']
300034.SZ,钢研高纳,['GYGN']
300035.SZ,中科电气,['ZKDQ']
300036.SZ,超图软件,['CTRJ']
300037.SZ,新宙邦,['XZB']
300038.SZ,梅泰诺,['MTN']
300039.SZ,上海凯宝,['SHKB']
300040.SZ,九洲电气,['JZDQ']
300041.SZ,回天新材,['HTXC']
300042.SZ,朗科科技,['LKKJ']
300043.SZ,互动娱乐,"['HDYL', 'HDYY']"
300044.SZ,赛为智能,['SWZN']
300045.SZ,华力创通,['HLCT']
300046.SZ,台基股份,['TJGF']
300047.SZ,天源迪科,['TYDK']
300048.SZ,合康变频,"['GKBP', 'HKBP']"
300049.SZ,福瑞股份,['FRGF']
300050.SZ,世纪鼎利,['SJDL']
